"DOC_DATE(DATE)","수집소스(SOURCE)","행정동(DONG_NM)","행정구(GU_NM)","세부견인요소(KEYWORD_DETAIL)","견인요소(KEYWORD)","FREQ(FREQ)"
"20170717","블로그","을지로","종로구","화가","기타",1
"20170814","블로그","서울","강남구","포스터","감성사진",1
"20190930","블로그","서울시립미술관","중구","도슨트","건축",1
"20180608","블로그","서울","강남구","예술","기타",1
"20191115","블로그","서울","강남구","촬영","예술성",1
"20181201","블로그","한강","서초구","예술가","예술성",1
"20170816","블로그","서울","용산구","작품","예술성",1
"20191118","블로그","국립현대미술관","종로구","인스타그램","건축",1
"20180629","블로그","올림픽공원","서대문구","작품","기타",1
"20190310","블로그","올림픽공원","강남구","전시장","예술성",1
"20170130","블로그","k현대미술관","용산구","엽서","예술성",1
"20180519","블로그","강남역","서울","갬성","기타",1
"20190413","블로그","대림","종로구","예술","감성사진",1
"20170716","블로그","디뮤지엄","강남구","작가","감성사진",1
"20180325","블로그","익선동","강남구","엽서","예술성",1
"20171103","블로그","서울","중구","거장","예술성",1
"20170713","블로그","뚝섬","서울","가이드","기타",1
"20170110","블로그","광화문역","용산구","sns","건축",1
"20170430","블로그","디뮤지엄","서초구","작품","감성사진",1
"20170725","블로그","동대문디자인플라자","성동구","전시장","예술성",1
"20190124","블로그","대학로","서울","사진촬영","기타",1
"20191008","블로그","서울숲","종로구","작품","감성사진",1
"20170409","블로그","이태원","서초구","전시공간","예술성",1
"20170113","블로그","롯데월드","서초구","셀카","기타",1
"20181128","블로그","서울","종로구","화가","기타",1
"20170816","블로그","대림미술관","서울","문구","기타",1
"20170607","블로그","압구정","강남구","인테리어","기타",1
"20170602","블로그","강남","용산구","조명","기타",1
"20191021","블로그","코엑스","강남구","작가","건축",1
"20190524","블로그","대림미술관","서울","문구","감성사진",1
"20180815","블로그","디뮤지엄","서울","포토존","기타",1
"20190922","블로그","서초","용산구","예술","감성사진",1
"20180101","블로그","예술의전당","영등포구","작가","감성사진",1
"20180907","블로그","한가람미술관","종로구","건축","기타",1
"20170224","블로그","대림미술관","서울","갬성","감성사진",1
"20190302","블로그","인사동","동작구","인스타그램","기타",1
"20180309","블로그","한가람미술관","서울","한컷","기타",1
"20171022","블로그","용산구","용산구","도슨트","기타",1
"20190217","블로그","여의나루","종로구","사진촬영","기타",1
"20180826","블로그","을지로","종로구","인스타그램","건축",1
"20191129","블로그","광화문","송파구","작품","기타",1
"20170801","블로그","이태원","종로구","포토존","기타",1
"20180131","블로그","아이파크몰","서초구","인스타그램","감성사진",1
"20191105","블로그","디뮤지엄","서대문구","엽서","감성사진",1
"20170826","블로그","성수동","용산구","작품","기타",1
"20170927","블로그","서울","은평구","촬영","기타",1
"20190129","블로그","압구정","서초구","인테리어","건축",1
"20180228","블로그","양재시민의숲","강남구","예술가","예술성",1
"20170122","블로그","삼청동","용산구","건축가","감성사진",1
"20170113","블로그","대림","마포구","작가","건축",1
"20170709","블로그","n타워","영등포구","예술","예술성",1
"20180612","블로그","어린이박물관","서초구","전시장","기타",1
"20171223","블로그","신논현역","동대문구","화가","예술성",1
"20181027","블로그","영등포구","마포구","작가","건축",1
"20170116","블로그","화곡","마포구","인스타그램","기타",1
"20190512","블로그","익선동","서초구","건축물","기타",1
"20181128","블로그","서울숲","중구","인스타그램","기타",1
"20170813","블로그","사당","서울","화가","감성사진",1
"20190704","블로그","디뮤지엄","용산구","포스터","기타",1
"20170501","블로그","디뮤지엄","종로구","엽서","예술성",1
"20190206","블로그","여의도","광진구","작품","감성사진",3
"20191015","블로그","회기","서울","작가","기타",2
"20190104","블로그","서울","서울","외관","건축",1
"20190114","블로그","동대문","종로구","스티커","예술성",1
"20170402","블로그","광화문","광진구","예술","기타",1
"20180317","블로그","한남동","용산구","인스타그램","감성사진",1
"20180618","블로그","대치동","마포구","작품","기타",1
"20180327","블로그","한가람미술관","종로구","작품","건축",1
"20190208","블로그","창경궁","마포구","전시장","감성사진",5
"20170420","블로그","서촌","서울","작품","기타",1
"20180704","블로그","예술의전당","용산구","예술가","감성사진",1
"20180630","블로그","아이파크몰","중구","촬영","기타",1
"20190727","블로그","충무로","서울","셀카","건축",1
"20181223","블로그","서울","성동구","취향저격","기타",1
"20171023","블로그","연세로","서초구","화가","감성사진",1
"20180922","블로그","서울","종로구","인스타그램","기타",1
"20180506","블로그","안암","중구","화가","예술성",1
"20190415","블로그","연남동","강북구","작품","예술성",1
"20180712","블로그","신논현","종로구","엽서","기타",1
"20190526","블로그","동대문","용산구","굿즈","기타",1
"20170201","블로그","강남","서울","작품","예술성",1
"20180715","블로그","방배","서울","포토존","감성사진",1
"20180301","블로그","어린이대공원역","종로구","전시공간","기타",1
"20190831","블로그","삼청동","관악구","건축","감성사진",1
"20190201","블로그","대림","중구","인스타그램","기타",1
"20171004","블로그","디뮤지엄","중구","사진촬영","기타",2
"20170619","블로그","양재","성동구","가이드","기타",1
"20181210","블로그","구로동","강남구","전시장","기타",1
"20190309","블로그","인사동","종로구","포토존","건축",1
"20190829","블로그","서초","서초구","아티스트","기타",1
"20180501","블로그","강남역","강남구","명화","기타",1
"20170329","블로그","석촌호수","마포구","도슨트","예술성",1
"20170216","블로그","디뮤지엄","강남구","작가","예술성",1
"20170914","블로그","인사동","성동구","인증샷","감성사진",1
"20171125","블로그","인사동","서초구","전시장","기타",1
"20190114","블로그","국립중앙박물관","송파구","작품","건축",3
"20190211","블로그","인사동","용산구","전시장","예술성",2
"20180107","블로그","예술의전당","용산구","예술가","건축",1
"20180222","블로그","종각","광진구","비쥬얼","예술성",1
"20180522","블로그","남현동","성동구","전시장","기타",1
"20171210","블로그","인사동","광진구","외관","감성사진",2
"20180802","블로그","한강","강서구","인스타그램","기타",2
"20181024","블로그","방이동","강동구","포토존","감성사진",1
"20180123","블로그","석파정서울미술관","종로구","예술","건축",1
"20190412","블로그","코엑스","강남구","한컷","기타",1
"20191021","블로그","남산","종로구","작가","기타",1
"20170122","블로그","마포","종로구","작가","예술성",1
"20191227","블로그","k현대미술관","종로구","촬영","건축",1
"20190929","블로그","경복궁","서초구","작가","예술성",1
"20180106","블로그","신촌","강남구","인테리어","기타",1
"20170911","블로그","용산","종로구","굿즈","기타",1
"20170307","블로그","경복궁","종로구","가이드","기타",1
"20180418","블로그","경복궁","용산구","전시장","예술성",2
"20171224","블로그","한남동","마포구","촬영","건축",1
"20190213","블로그","서울","서초구","인스타그램","기타",1
"20190329","블로그","청계천","용산구","작품","기타",1
"20181010","블로그","한가람미술관","종로구","전시장","기타",1
"20180423","블로그","안국역","종로구","작품","기타",1
"20170716","블로그","경리단길","용산구","인생샷","기타",1
"20181228","블로그","코엑스","종로구","전시장","예술성",1
"20170210","블로그","대림미술관","마포구","아티스트","감성사진",1
"20180415","블로그","중앙박물관","종로구","문구","기타",1
"20191130","블로그","예술의전당","서울","스티커","예술성",1
"20170228","블로그","남서울미술관","종로구","작품","예술성",1
"20170721","블로그","종로구","중구","작품","기타",1
"20190124","블로그","아트나인","종로구","작가","예술성",1
"20191204","블로그","디뮤지엄","용산구","예술","기타",1
"20191006","블로그","국립현대미술관","용산구","촬영","감성사진",1
"20181102","블로그","명동","마포구","셀카","기타",1
"20190827","블로그","서울","강남구","에코백","기타",1
"20181124","블로그","서울역","서울","화가","예술성",1
"20181109","블로그","연남동","마포구","엽서","기타",1
"20181221","블로그","파미에스테이션","종로구","인스타그램","기타",1
"20180212","블로그","홍대","종로구","예술","예술성",1
"20180219","블로그","청담","강남구","엽서","감성사진",1
"20190628","블로그","서울숲","종로구","인증샷","예술성",1
"20191201","블로그","망원동","서울","인스타그램","예술성",1
"20170716","블로그","서울미술관","서울","작품","감성사진",1
"20190221","블로그","한가람미술관","서울","작가","기타",2
"20170123","블로그","왕십리","종로구","인스타그램","기타",1
"20180131","블로그","서초","용산구","조명","감성사진",1
"20170501","블로그","대림미술관","강남구","전시장","예술성",2
"20170804","블로그","삼청동","서울","전시공간","기타",1
"20180509","블로그","서울역","종로구","작품","예술성",1
"20180306","블로그","금호","마포구","포토존","건축",1
"20180420","블로그","국립현대미술관","중구","촬영","예술성",1
"20180306","블로그","청담","마포구","거장","기타",2
"20190520","블로그","부암동","양천구","비쥬얼","기타",1
"20190509","블로그","한가람미술관","노원구","건축물","예술성",1
"20171103","블로그","서울","종로구","인증샷","기타",1
"20170802","블로그","서촌","서울","기념품샵","예술성",1
"20170226","블로그","학동역","강남구","작품","건축",1
"20170116","블로그","중앙박물관","서울","전시장","건축",1
"20180121","블로그","광화문","용산구","작가","기타",1
"20180911","블로그","코엑스","용산구","포토존","예술성",1
"20171230","블로그","양재동","종로구","사진촬영","감성사진",1
"20190703","블로그","강남구","종로구","작품","기타",2
"20180704","블로그","서울역사박물관","종로구","사진촬영","예술성",1
"20171016","블로그","문래역","종로구","작가","예술성",1
"20170511","블로그","인사동","종로구","셀카","예술성",1
"20180304","블로그","광화문역","마포구","인스타그램","예술성",1
"20181020","블로그","경복궁","강남구","작품","감성사진",1
"20181221","블로그","현대카드뮤직라이브러리","서울","사진촬영","감성사진",1
"20170215","블로그","이태원","마포구","예술","예술성",1
"20180812","블로그","한강","동작구","엽서","기타",2
"20170516","블로그","아라리오뮤지엄","서울","포토존","기타",2
"20170218","블로그","서울","종로구","작가","예술성",1
"20180622","블로그","공릉동","서초구","작품","감성사진",1
"20190809","블로그","예술의전당","종로구","전시장","예술성",1
"20180521","블로그","경복궁역","종로구","작가","예술성",2
"20170816","블로그","삼성역","영등포구","아티스트","기타",1
"20171225","블로그","연남동","성동구","셀카","예술성",1
"20190203","블로그","상도","종로구","인스타감성","예술성",1
"20190314","블로그","서울","중구","인증샷","기타",1
"20180826","블로그","영등포동","종로구","조명","예술성",1
"20170820","블로그","예술의전당한가람미술관","서울","에코백","예술성",1
"20170831","블로그","한남동","종로구","화가","기타",1
"20190121","블로그","국립현대미술관","종로구","작가","건축",1
"20180225","블로그","삼청동","종로구","인테리어","예술성",1
"20180724","블로그","국립현대미술관","종로구","스티커","기타",1
"20171231","블로그","서울시립미술관","서초구","작품","예술성",1
"20180624","블로그","한강","강남구","건축물","감성사진",1
"20180903","블로그","중앙박물관","서울","작품","기타",2
"20170516","블로그","청운효자동","종로구","예술가","감성사진",1
"20190729","블로그","쌍문","영등포구","화가","기타",1
"20190319","블로그","명동","서울","기념품샵","감성사진",1
"20180411","블로그","옥수역","서울","작가","건축",1
"20180509","블로그","동대문","종로구","셀카","감성사진",1
"20180117","블로그","신도림동","강남구","포토존","건축",1
"20190927","블로그","마포","중구","전시장","감성사진",1
"20180528","블로그","디뮤지엄","중구","작가","감성사진",1
"20190317","블로그","이촌","용산구","예술","예술성",1
"20181010","블로그","서울숲","강남구","한컷","예술성",1
"20171229","블로그","안국","종로구","작가","건축",1
"20190925","블로그","서울","종로구","전시장","기타",1
"20170410","블로그","광화문","마포구","촬영","건축",1
"20180522","블로그","동대문디자인플라자","노원구","사진촬영","건축",1
"20180826","블로그","가로수길","중구","셀카","기타",1
"20180726","블로그","압구정","용산구","예술","기타",1
"20170201","블로그","반포동","서울","엽서","감성사진",1
"20190510","블로그","연희동","중구","조명","예술성",1
"20190319","블로그","스틸북스","중구","가이드","감성사진",1
"20180727","블로그","서울","강남구","작가","예술성",1
"20171002","블로그","신논현역","서울","장인","기타",1
"20190527","블로그","디뮤지엄","송파구","셀카","예술성",1
"20180501","블로그","전쟁기념관","종로구","작품","감성사진",1
"20170628","블로그","리움미술관","서울","스티커","감성사진",1
"20180811","블로그","한강진","용산구","인테리어","기타",1
"20191119","블로그","도산공원","서초구","조명","감성사진",1
"20190506","블로그","강남구","금천구","셀카","건축",1
"20190123","블로그","한남동","용산구","아티스트","기타",1
"20170731","블로그","디뮤지엄","강남구","작가","감성사진",1
"20180317","블로그","예술의전당","종로구","인스타그램","기타",1
"20181113","블로그","고궁박물관","종로구","건축","기타",1
"20170802","블로그","합정역","강남구","작품","감성사진",1
"20190409","블로그","중앙박물관","용산구","도슨트","감성사진",2
"20170731","블로그","서울","용산구","아티스트","기타",1
"20170726","블로그","대림미술관","용산구","작품","예술성",1
"20171008","블로그","뚝섬","송파구","엽서","예술성",1
"20170910","블로그","아르코미술관","용산구","인테리어","예술성",1
"20190812","블로그","고궁박물관","성동구","인스타그램","예술성",1
"20170129","블로그","홍대","마포구","셀카","예술성",1
"20170319","블로그","한가람미술관","종로구","인스타그램","예술성",2
"20181229","블로그","한성대입구","노원구","건축가","감성사진",1
"20190929","블로그","서울","종로구","문구","예술성",1
"20190401","블로그","방이역","용산구","작품","건축",1
"20170120","블로그","삼성동","용산구","건축물","예술성",1
"20170309","블로그","송파","서초구","전시장","기타",1
"20181001","블로그","서울숲","서초구","명화","기타",1
"20180510","블로그","석촌호수","용산구","인증샷","기타",1
