"DOC_DATE(DATE)","수집소스(SOURCE)","행정동(DONG_NM)","행정구(GU_NM)","세부키워드(KEYWORD_DETAIL)","FREQ(FREQ)"
"20191120","커뮤니티블로그","대림","양천구","디저트",10
"20190118","커뮤니티블로그","압구정로데오역","성북구","디저트",2
"20190501","커뮤니티블로그","중구","송파구","디저트",1
"20190216","커뮤니티블로그","보광동","강남구","디저트",1
"20180825","커뮤니티블로그","후암동","서대문구","디저트",1
"20191130","트위터","마포구","용산구","디저트",3
"20180405","커뮤니티블로그","뚝섬역","종로구","디저트",2
"20170912","커뮤니티블로그","청계천","용산구","디저트",1
"20171024","커뮤니티블로그","상도동","송파구","디저트",1
"20170829","커뮤니티블로그","광화문","중구","디저트",1
"20191021","커뮤니티블로그","서울대입구","영등포구","디저트",1
"20180114","커뮤니티블로그","양재역","강남구","디저트",1
"20191015","커뮤니티블로그","혜화역","영등포구","디저트",6
"20170205","커뮤니티블로그","북촌","강남구","디저트",3
"20191027","커뮤니티블로그","양재동","종로구","디저트",5
"20190121","커뮤니티블로그","신대방동","성동구","디저트",1
"20190613","커뮤니티블로그","종각","강동구","디저트",6
"20181128","커뮤니티블로그","센터원빌딩","종로구","디저트",1
"20180820","커뮤니티블로그","신사역","동작구","디저트",40
"20170530","커뮤니티블로그","청량리","마포구","디저트",2
"20180413","커뮤니티블로그","공릉역","광진구","디저트",2
"20170305","커뮤니티블로그","금호미술관","종로구","디저트",1
"20170603","커뮤니티블로그","연희동","송파구","디저트",10
"20180819","커뮤니티블로그","이촌","광진구","디저트",1
"20190715","커뮤니티블로그","공덕","관악구","디저트",4
"20171001","커뮤니티블로그","월곡동","종로구","디저트",2
"20180309","커뮤니티블로그","석촌호수","중랑구","디저트",1
"20180215","커뮤니티블로그","마포","강동구","디저트",2
"20171207","커뮤니티블로그","옥수","관악구","디저트",1
"20181125","커뮤니티블로그","서울시청","중구","디저트",2
"20181019","커뮤니티블로그","종로구","광진구","디저트",1
"20190113","커뮤니티블로그","청담","마포구","디저트",3
