"DOC_DATE(DATE)","수집소스(SOURCE)","행정동(DONG_NM)","행정구(GU_NM)","세부키워드(KEYWORD_DETAIL)","FREQ(FREQ)"
"20170622","커뮤니티블로그","국립현대미술관","종로구","분위기",1
"20180305","커뮤니티블로그","역삼역","강남구","미식",2
"20190702","트위터","해양박물관","서초구","백종원",1
"20180518","커뮤니티블로그","석파정서울미술관","광진구","식감",1
"20190518","커뮤니티블로그","마포","관악구","존맛",1
"20170402","커뮤니티블로그","종각","송파구","사르르",2
"20190616","커뮤니티블로그","용산","마포구","입맛",44
"20190118","커뮤니티블로그","남부터미널","강남구","미식",1
"20191008","커뮤니티블로그","이태원","강남구","포토존",1
"20191007","트위터","홍대입구역","강남구","인테리어",2
"20180403","커뮤니티블로그","동대문","광진구","인스타그램",1
"20180529","트위터","망원","강동구","비쥬얼",1
"20181119","커뮤니티블로그","중앙동","마포구","사진촬영",1
"20180708","커뮤니티블로그","답십리동","광진구","핫플레이스",1
"20190917","트위터","삼성동","중구","비쥬얼",1
"20170708","커뮤니티블로그","신당역","강남구","인테리어",1
"20191116","커뮤니티블로그","정릉동","강남구","재료",1
"20190911","커뮤니티블로그","삼성역","동대문구","분위기",1
"20191009","트위터","서울","종로구","식감",1
"20180103","커뮤니티블로그","청담","용산구","재료",1
"20190510","트위터","강남","종로구","미식",1
"20180731","커뮤니티블로그","익선동","노원구","존맛",1
"20180530","트위터","여의도","강남구","인스타그램",1
"20181017","커뮤니티블로그","월곡역","강동구","감성",1
"20190923","트위터","성북구","용산구","미식",1
"20181022","트위터","송파구","마포구","비쥬얼",4
"20170701","커뮤니티블로그","수서동","광진구","재료",1
"20180106","커뮤니티블로그","당산역","강남구","재료",3
"20190405","트위터","이태원","서울","입맛",2
"20170620","커뮤니티블로그","쌍문역","마포구","꿀맛",3
"20190825","커뮤니티블로그","교대","용산구","비쥬얼",1
"20180331","트위터","노원","중구","재료",2
"20180607","커뮤니티블로그","동교동","강남구","비쥬얼",1
"20190803","커뮤니티블로그","가양","서초구","식감",2
"20190819","트위터","남산","종로구","입맛",1
"20181014","커뮤니티블로그","경복궁","마포구","인테리어",1
"20190906","커뮤니티블로그","청담","서초구","식감",3
"20170620","트위터","충정로역","중랑구","존맛",1
"20170103","커뮤니티블로그","용답","중구","이색메뉴",1
"20171208","커뮤니티블로그","마포구","관악구","미식",1
"20190523","커뮤니티블로그","여의도","은평구","이색메뉴",1
"20190511","커뮤니티블로그","서울숲역","은평구","미식",1
"20190324","커뮤니티블로그","혜화동","마포구","미식",1
"20181102","트위터","혜화","광진구","이색메뉴",5
"20180120","커뮤니티블로그","세종문화회관","송파구","재료",3
"20180813","커뮤니티블로그","강남구","서대문구","비쥬얼",1
"20170614","커뮤니티블로그","선정릉역","관악구","포토존",6
"20190827","커뮤니티블로그","강남","중구","이색메뉴",1
"20170616","커뮤니티블로그","서촌","양천구","사르르",14
"20180325","커뮤니티블로그","한양대","마포구","인스타그램",1
"20170119","트위터","롯데월드","종로구","비쥬얼",1
"20191214","커뮤니티블로그","서울","관악구","포토존",1
"20180911","커뮤니티블로그","안암역","강남구","인스타그램",11
"20170421","커뮤니티블로그","인사동","관악구","사진촬영",1
"20171012","커뮤니티블로그","서울","마포구","분위기",1
"20180605","커뮤니티블로그","강남","종로구","비쥬얼",1
"20190101","커뮤니티블로그","성내동","마포구","입맛",1
"20170901","트위터","왕십리역","서대문구","인생샷",4
"20191204","트위터","청량리","종로구","미식",1
"20191204","커뮤니티블로그","강남역","종로구","이색메뉴",1
"20180104","커뮤니티블로그","이태원","영등포구","미식",1
"20171124","트위터","경복궁","중구","셰프",2
"20180601","커뮤니티블로그","석계","강동구","미식",2
"20180118","커뮤니티블로그","합정역","성동구","인스타감성",2
"20170326","트위터","한남동","서대문구","인테리어",1
"20170328","트위터","망우역","마포구","미식",5
"20170628","트위터","경복궁역","송파구","셰프",1
"20170630","커뮤니티블로그","을지로입구","용산구","사진촬영",1
"20171005","트위터","디지털미디어시티","강남구","미식",1
"20180405","커뮤니티블로그","홍대","종로구","사진촬영",4
"20190304","커뮤니티블로그","신사동","강남구","미식",1
"20190616","커뮤니티블로그","광화문","강남구","미식",1
"20170222","커뮤니티블로그","강남","강남구","미식",1
"20170607","커뮤니티블로그","노원구","광진구","인테리어",1
"20180504","커뮤니티블로그","광나루","마포구","분위기",1
"20170128","커뮤니티블로그","홍대cgv","서초구","미식",1
"20180226","트위터","성수","종로구","미식",6
"20170405","커뮤니티블로그","천호","강남구","미식",1
"20190929","커뮤니티블로그","동대문","용산구","사르르",1
"20190924","트위터","양재동","종로구","비쥬얼",1
"20171120","커뮤니티블로그","남산","중구","존맛",2
"20180822","트위터","안국역","강남구","감성",3
"20170807","트위터","압구정","서울","미식",1
"20170529","커뮤니티블로그","합정","용산구","이색메뉴",1
"20190820","커뮤니티블로그","영등포구","관악구","미식",1
"20171109","트위터","보문역","강남구","인테리어",30
"20180312","커뮤니티블로그","삼청동","동대문구","존맛",1
"20190425","커뮤니티블로그","금호","강서구","분위기",2
"20190715","커뮤니티블로그","약수","성동구","시그니처",1
"20171025","커뮤니티블로그","익선동","강남구","미식",1
"20170525","커뮤니티블로그","북촌","송파구","미식",1
"20170326","커뮤니티블로그","성산동","마포구","미식",1
"20190704","트위터","선릉역","서초구","인스타그램",1
"20170602","커뮤니티블로그","강남cgv","송파구","분위기",1
"20190716","커뮤니티블로그","광흥창","용산구","인생샷",1
"20190218","커뮤니티블로그","석촌역","서대문구","식감",2
"20170405","트위터","서울","관악구","미식",1
"20180614","커뮤니티블로그","대흥","마포구","분위기",1
"20190104","커뮤니티블로그","성수동","송파구","미식",2
"20170512","트위터","논현","마포구","인스타그램",1
"20170620","커뮤니티블로그","익선동","종로구","인스타그램",1
"20170531","커뮤니티블로그","구로동","영등포구","셰프",1
"20190115","트위터","부암동","영등포구","이색메뉴",1
"20170307","커뮤니티블로그","마곡나루","광진구","미식",1
"20170813","커뮤니티블로그","고척동","마포구","비쥬얼",1
"20181121","커뮤니티블로그","창신","종로구","인테리어",1
"20190715","트위터","이태원","구로구","분위기",2
"20190912","커뮤니티블로그","언주역","서울","미식",1
"20180405","커뮤니티블로그","잠원","용산구","인생샷",1
"20180513","커뮤니티블로그","신도림동","용산구","미식",1
"20190317","트위터","강남","종로구","핫플레이스",6
"20190206","커뮤니티블로그","서울역","서대문구","분위기",1
"20190327","커뮤니티블로그","수유동","마포구","감성",1
"20170427","커뮤니티블로그","보문","종로구","미식",1
"20181017","커뮤니티블로그","종각역","강남구","비쥬얼",1
"20190818","트위터","삼성역","용산구","미식",2
"20170404","커뮤니티블로그","아차산","서울","미식",1
"20190317","커뮤니티블로그","압구정역","강남구","미식",1
"20180207","커뮤니티블로그","사당동","강남구","핫플레이스",4
"20190706","트위터","아차산","강남구","재료",1
"20180524","트위터","논현동","성동구","미식",1
"20170525","커뮤니티블로그","여의도역","중랑구","미식",1
"20180224","커뮤니티블로그","안국","서대문구","미식",1
"20170914","커뮤니티블로그","구로디지털단지","강남구","감성",2
"20191212","커뮤니티블로그","서울","용산구","유튜브",4
"20190816","커뮤니티블로그","신촌","종로구","이색메뉴",3
"20170502","트위터","신논현","강남구","분위기",1
"20180206","커뮤니티블로그","망우역","강남구","감성",1
"20191124","트위터","청담동","강남구","분위기",1
"20191130","트위터","piknic","중랑구","비쥬얼",1
"20190922","트위터","ifc몰","용산구","이색메뉴",1
"20190708","커뮤니티블로그","국회의사당","마포구","미식",1
"20190331","커뮤니티블로그","신논현","은평구","sns",1
"20170220","트위터","상수","종로구","인테리어",2
